id,uri,title,published,isbn,author
GBB489081,http://bnb.data.bl.uk/id/resource/016492835,Four Bath Buns,2013,1903056365,Amanda Overeynder
GB9579224,http://bnb.data.bl.uk/id/resource/009477959,From Bath with love : an evocative view of Bath and the surrounding area,1995,0952185024,Bob Croxford
GB99Y2940,http://bnb.data.bl.uk/id/resource/008809957,Tim Mowl's garden walks near Bath,1999,0948975547,Tim Mowl
GB98W1904,http://bnb.data.bl.uk/id/resource/009406060,The vault,1999,0316646466,Peter Lovesey
GB98V1423,http://bnb.data.bl.uk/id/resource/010726512,"Bath at war, 1939-1945",1999,0750919957,David Falconer
GBA160527,http://bnb.data.bl.uk/id/resource/009482005,Bath administer'd : corporation affairs at the 18th-century spa,2001,0952632624,Trevor Fawcett
GB7729085,http://bnb.data.bl.uk/id/resource/008097060,Pleasures and people of Bath,1977,0718115880,Kenneth Hudson
GBA861863,http://bnb.data.bl.uk/id/resource/014602115,Rainstone fall,2008,1845296494,Peter Helton
GB7801850,http://bnb.data.bl.uk/id/resource/008784973,Bath from Roman times,1977,0851221327,Althea
GB9445310,http://bnb.data.bl.uk/id/resource/010725442,Bath : history and guide,1994,0750904259,Trevor Fawcett
GBB165836,http://bnb.data.bl.uk/id/resource/015817513,Bath,2012,1904955932,John Payne
GBA1Z8703,http://bnb.data.bl.uk/id/resource/008390241,Fearful symmetry,2001,0753163934,Morag Joss
GB9249130,http://bnb.data.bl.uk/id/resource/008802214,The Bath tramways,1992,0853613923,Colin Gordon Maggs
GBA454141,http://bnb.data.bl.uk/id/resource/012958380,Bath tangle,2004,0099468093,Georgette Heyer
GBA1Z8703,http://bnb.data.bl.uk/id/resource/008390241,Fearful symmetry,2001,0753163926,Morag Joss
GBA2W4530,http://bnb.data.bl.uk/id/resource/008388187,Medieval Bath uncovered,2002,075241965X,Peter Davenport
GBA682108,http://bnb.data.bl.uk/id/resource/013563004,Absolute honour,2007,0753177978,C. C. Humphreys
GB7527934,http://bnb.data.bl.uk/id/resource/010067822,Bath : an architectural guide,1975,0571108059,Charles Robertson
GB9938041,http://bnb.data.bl.uk/id/resource/009699451,Discovering Bath,1999,0199189951,Sue Thomas
GBB368473,http://bnb.data.bl.uk/id/resource/013598075,"Indexes of the 1841 census records of Somerset. Volume 36, Bath",2006,1905639104,Judy Hodges
GBA987873,http://bnb.data.bl.uk/id/resource/013808183,The naked guide to Bath,2004,0954417704,Gideon Kibblewhite
GBA058094,http://bnb.data.bl.uk/id/resource/008809946,Hidden paths & secret gates : six all-day walks around Bath,1996,0948975415,Kirsten Elliott
GBB189264,http://bnb.data.bl.uk/id/resource/015856404,Belinda goes to Bath,2011,1445837943,M. C. Beaton
GBA8B1003,http://bnb.data.bl.uk/id/resource/013640868,Tudor Bath : life and strife in the 'little city' 1485-1603,2006,0952024977,John Wroughton
GBA8D6966,http://bnb.data.bl.uk/id/resource/014845370,Haunted Bath,2009,0752447599,David Brandon
GBA673224,http://bnb.data.bl.uk/id/resource/013538132,A history of Bath : image and reality,2006,1859361129,Graham Davis
GB8809648,http://bnb.data.bl.uk/id/resource/007399924,Historic Bath,1987,071170290X,Diana Winsor
GBA591244,http://bnb.data.bl.uk/id/resource/013282249,Nelson and Bath,2004,0953720039,Louis Hodgkin
GB8715327,http://bnb.data.bl.uk/id/resource/007441443,The bombing of Bath : the German air raids of April 1942,1983,0906798302,Niall Rothnie
GBB073065,http://bnb.data.bl.uk/id/resource/015578330,Bristol & Bath unlocked,2010,0956414834,Emily Kerr
GB9010320,http://bnb.data.bl.uk/id/resource/012040512,Nineteenth century Bath : architects & architecture,1991,1853980161,N. Jackson
GB98W5836,http://bnb.data.bl.uk/id/resource/012693052,The Royal Crescent book of Bath,1998,1855854988,James Crathorne
GBA073577,http://bnb.data.bl.uk/id/resource/008388817,The killing of Cinderella : a Bath detective mystery,1999,0752827243,Christopher Lee
